Data:  2015/11/24
Czas:  2:19:42


liczba pomiarow=1166
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
12.286,2.512,3.083,-1.837,2.137,2.166,2.080,2.105,
12.120,2.478,2.666,-1.838,2.141,2.169,2.084,2.110,
12.190,2.467,2.293,-1.847,2.150,2.178,2.093,2.118,
12.387,2.494,2.356,-1.859,2.164,2.192,2.106,2.132,
11.775,2.497,2.770,-1.864,2.169,2.198,2.111,2.137,
11.506,2.442,2.171,-1.864,2.169,2.198,2.111,2.136,
11.832,2.470,2.405,-1.867,2.173,2.202,2.114,2.141,
12.294,2.428,2.622,-1.884,2.194,2.222,2.134,2.159,
11.918,2.462,2.666,-1.908,2.223,2.251,2.161,2.189,
11.250,2.477,2.331,-1.911,2.227,2.256,2.165,2.193,
10.664,2.410,2.228,-1.911,2.227,2.256,2.165,2.193,
11.011,2.402,2.297,-1.912,2.228,2.257,2.165,2.192,
11.654,2.399,2.295,-1.920,2.239,2.267,2.176,2.205,
11.834,2.402,2.178,-1.940,2.262,2.291,2.197,2.226,
11.295,2.401,2.635,-1.947,2.273,2.301,2.207,2.236,
11.289,2.384,2.415,-1.952,2.278,2.306,2.212,2.242,
11.082,2.354,2.216,-1.953,2.279,2.308,2.213,2.243,
11.352,2.363,2.321,-1.966,2.293,2.322,2.227,2.256,
11.440,2.362,2.597,-1.982,2.315,2.344,2.248,2.278,
10.808,2.405,2.901,-1.990,2.323,2.352,2.256,2.286,
11.146,2.337,2.343,-1.994,2.330,2.359,2.262,2.293,
10.986,2.361,2.180,-2.000,2.337,2.366,2.269,2.299,
