Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
34.527,5.254,5.243,-0.028,0.000,0.013,0.000,0.004,
34.279,5.291,5.248,-0.028,0.000,0.013,0.000,0.005,
34.050,5.272,5.243,-0.029,0.000,0.013,0.000,0.005,
34.382,5.275,5.229,-0.029,0.002,0.013,0.000,0.004,
35.593,5.393,5.374,-0.030,0.002,0.014,0.000,0.006,
35.685,5.470,5.482,-0.031,0.002,0.015,0.000,0.006,
35.369,5.446,5.437,-0.031,0.002,0.015,0.000,0.005,
35.774,5.460,5.433,-0.031,0.002,0.014,0.000,0.006,
37.114,5.583,5.546,-0.032,0.003,0.015,0.000,0.006,
37.793,5.690,5.666,-0.032,0.003,0.016,0.000,0.006,
37.876,5.732,5.692,-0.033,0.004,0.016,0.000,0.007,
37.187,5.703,5.719,-0.033,0.004,0.016,0.000,0.007,
37.741,5.703,5.724,-0.033,0.004,0.016,0.000,0.006,
38.765,5.813,5.813,-0.034,0.004,0.017,0.000,0.008,
39.446,5.910,5.887,-0.035,0.004,0.017,0.000,0.007,
38.818,5.890,5.843,-0.035,0.004,0.017,0.000,0.008,
39.295,5.898,5.879,-0.035,0.004,0.017,0.000,0.008,
40.340,6.021,5.997,-0.036,0.005,0.018,0.000,0.009,
41.374,6.124,6.105,-0.037,0.005,0.018,0.000,0.009,
41.522,6.194,6.167,-0.038,0.005,0.018,0.001,0.009,
41.033,6.167,6.157,-0.038,0.006,0.019,0.001,0.009,
41.273,6.161,6.166,-0.038,0.005,0.019,0.001,0.009,
42.544,6.269,6.215,-0.039,0.006,0.019,0.001,0.010,
42.984,6.368,6.359,-0.040,0.006,0.020,0.001,0.010,
42.458,6.352,6.328,-0.040,0.007,0.020,0.001,0.010,
42.725,6.344,6.343,-0.041,0.007,0.020,0.001,0.011,
44.052,6.455,6.452,-0.042,0.007,0.021,0.001,0.011,
44.777,6.566,6.542,-0.042,0.007,0.022,0.001,0.012,
45.240,6.634,6.611,-0.044,0.008,0.022,0.001,0.012,
44.396,6.605,6.565,-0.044,0.008,0.023,0.001,0.012,
44.772,6.597,6.590,-0.045,0.008,0.023,0.001,0.013,
45.845,6.691,6.686,-0.046,0.009,0.024,0.001,0.013,
46.464,6.784,6.770,-0.047,0.009,0.024,0.001,0.014,
45.628,6.774,6.759,-0.048,0.010,0.025,0.001,0.015,
46.071,6.765,6.760,-0.048,0.010,0.025,0.001,0.014,
47.093,6.863,6.852,-0.049,0.010,0.026,0.002,0.015,
48.044,6.967,6.964,-0.051,0.011,0.027,0.002,0.016,
48.323,7.033,7.012,-0.052,0.012,0.028,0.002,0.016,
47.680,7.008,6.973,-0.052,0.013,0.029,0.002,0.017,
47.665,6.990,6.970,-0.054,0.014,0.030,0.004,0.019,
48.644,7.042,7.066,-0.055,0.016,0.031,0.006,0.020,
49.276,7.146,7.132,-0.058,0.018,0.033,0.007,0.021,
